name,height,weight,reach,stance,wins,losses,draws
Tom,Aaron,,--,155 lbs.,--,,5
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,6
Mansur,Abdul-Malik,,"6' 2""",185 lbs.,"80.0""",Orthodox,8
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15
Cyborg,Abreu,,--,--,--,,0
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7
Mohamed,Ado,,"5' 11""",170 lbs.,"76.0""",Switch,5
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24
Mariya,Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10
Kantharaj,Agasa,Kannadiga,--,135 lbs.,--,,12
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,11
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14
Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7
,Agulali,,"5' 9""",125 lbs.,"67.0""",Switch,13
Ahejiang,Ailinuer,,--,145 lbs.,--,,15
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13
Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5
Javi,Alanis,,"5' 6""",135 lbs.,--,,0
,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,17
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,17
Brett,Albee,,--,225 lbs.,--,,3
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0
Juan,Alcain,,--,--,--,,1
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1
